Time,MFP
1994 Q1,78.5667324129
1994 Q2,79.3120313009
1994 Q3,79.3356446021
1994 Q4,80.0160192231
1995 Q1,78.6507873072
1995 Q2,78.5539118741
1995 Q3,78.1237744137
1995 Q4,77.2744870306
1996 Q1,77.2019126947
1996 Q2,76.7150803461
1996 Q3,77.2144071727
1996 Q4,77.3768482341
1997 Q1,78.1520988412
1997 Q2,77.1061435523
1997 Q3,77.5759426042
1997 Q4,77.9843071532
1998 Q1,77.6243302392
1998 Q2,76.7192995585
1998 Q3,76.0512973457
1998 Q4,76.408981314
1999 Q1,77.084601339
1999 Q2,77.7106591222
1999 Q3,79.3622878116
1999 Q4,79.4344081104
2000 Q1,80.5581251927
2000 Q2,80.7636055731
2000 Q3,81.3854158577
2000 Q4,83.4134804888
2001 Q1,83.1371929547
2001 Q2,81.997778483
2001 Q3,83.434196724
2001 Q4,83.0447566155
2002 Q1,83.9920948617
2002 Q2,84.2545363325
2002 Q3,85.2596314908
2002 Q4,84.4894514768
2003 Q1,85.8616244091
2003 Q2,86.4044168392
2003 Q3,88.3378603347
2003 Q4,89.5853508231
2004 Q1,91.091393079
2004 Q2,91.7930419269
2004 Q3,90.8138597905
2004 Q4,92.281457548
2005 Q1,92.3383806329
2005 Q2,94.1531704639
2005 Q3,94.2854513665
2005 Q4,95.7991038088
2006 Q1,96.9276882728
2006 Q2,97.7808988764
2006 Q3,98.5006091275
2006 Q4,98.8773505473
2007 Q1,98.6415589282
2007 Q2,100.2471717844
2007 Q3,99.8008723687
2007 Q4,100.7748230342
2008 Q1,100.2088277171
2008 Q2,99.8558800922
2008 Q3,99.4177583697
2008 Q4,96.7703586289
2009 Q1,94.8578466591
2009 Q2,95.1217007292
2009 Q3,95.9762944479
2009 Q4,97.2530320307
2010 Q1,97.8848534874
2010 Q2,100.1762754044
2010 Q3,100.8241475224
2010 Q4,100.5183980484
2011 Q1,101.4098896608
2011 Q2,103.3423292506
2011 Q3,103.2086675695
2011 Q4,102.5217932752
2012 Q1,102.3397237683
2012 Q2,99.3382203217
2012 Q3,99.5533448381
2012 Q4,98.789122627
2013 Q1,98.3408439164
2013 Q2,99.1482811698
2013 Q3,98.9915452786
2013 Q4,99.7648502198
2014 Q1,101.0023524599
2014 Q2,101.7583316295
2014 Q3,102.0501835985
2014 Q4,101.6120855723
2015 Q1,100.7542995072
2015 Q2,100.5239822652
2015 Q3,100.110864745
2015 Q4,98.3826155983
2016 Q1,98.8027536666
2016 Q2,99.6223790122
2016 Q3,99.5209102705
2016 Q4,102.081859525
2017 Q1,102.1295831241
2017 Q2,101.1811414392
2017 Q3,101.3104739383
2017 Q4,103.1804220747
2018 Q1,102.0304070623
2018 Q2,101.5838662076
